ENSG00000000003,14068
ENSG00000000005,55
ENSG00000000419,9808
ENSG00000000457,2270
ENSG00000000460,1143
ENSG00000000938,10
ENSG00000000971,74084
ENSG00000001036,45867
ENSG00000001084,10768
ENSG00000001167,10806
ENSG00000001460,4137
ENSG00000001461,18609
ENSG00000001497,5295
ENSG00000001561,142
ENSG00000001617,11299
ENSG00000001626,516
ENSG00000001629,29857
ENSG00000001630,81572
ENSG00000001631,11083
ENSG00000002016,1950
ENSG00000002330,10341
ENSG00000002549,14689
ENSG00000002586,204754
ENSG00000002587,44
ENSG00000002726,0
ENSG00000002745,380
ENSG00000002746,898
ENSG00000002822,3607
ENSG00000002834,174473
ENSG00000002919,5043
ENSG00000002933,824
ENSG00000003056,61300
ENSG00000003096,17
ENSG00000003137,73
ENSG00000003147,931
ENSG00000003249,1967
ENSG00000003393,12812
ENSG00000003400,335
ENSG00000003402,8950
ENSG00000003436,231128
ENSG00000003509,3632
ENSG00000003756,22858
ENSG00000003987,475
ENSG00000003989,37335
ENSG00000004059,15173
ENSG00000004139,2897
ENSG00000004399,136032
ENSG00000004455,23604
ENSG00000004468,176
ENSG00000004478,19067
ENSG00000004487,23429
ENSG00000004534,21126
ENSG00000004660,1896
ENSG00000004700,24579
ENSG00000004766,5170
ENSG00000004776,107502
ENSG00000004777,2183
ENSG00000004779,15963
ENSG00000004799,5835
ENSG00000004809,0
ENSG00000004838,92
ENSG00000004846,23
ENSG00000004848,0
ENSG00000004864,11306
ENSG00000004866,10638
ENSG00000004897,37129
ENSG00000004939,1
ENSG00000004948,0
ENSG00000004961,9260
ENSG00000004975,17226
ENSG00000005001,2
ENSG00000005007,15464
ENSG00000005020,6992
ENSG00000005022,48755
ENSG00000005059,2307
ENSG00000005073,582
ENSG00000005075,14156
ENSG00000005100,7992
ENSG00000005102,1
ENSG00000005108,2795
ENSG00000005156,5688
ENSG00000005175,9212
ENSG00000005187,28
ENSG00000005189,308
ENSG00000005194,10479
ENSG00000005206,8591
ENSG00000005238,22390
ENSG00000005243,9848
ENSG00000005249,27679
ENSG00000005302,9651
ENSG00000005339,29483
ENSG00000005379,194
ENSG00000005381,0
ENSG00000005421,0
ENSG00000005436,3944
ENSG00000005448,1364
ENSG00000005469,3238
ENSG00000005471,62
ENSG00000005483,41350
ENSG00000005486,24764
ENSG00000005513,71
ENSG00000005700,22345
ENSG00000005801,4738
ENSG00000005810,24748
ENSG00000005812,12423
